Budget Anual (EUR);543740;315000;;;;;;Presupuesto aprobado
;;;;;;;;
--- COSTES MENSUALES (K EUR) ---;;;;;;;;;
Enero;45;44;;;;;;
Febrero;46;48;;;;;;
Marzo;42;40;;;;;;
Abril;45;44;;;;;;
Mayo;44;40;;;;;;
Junio;48;63;;;;;;
Julio;46;;;;;;;
Agosto;44;;;;;;;
Septiembre;45;;;;;;;
Octubre;47;;;;;;;
Noviembre;48;;;;;;;
Diciembre;47;;;;;;;
;;;;;;;;
====================================================================================================
SECCION 6: DATOS HISTORICOS (EVOLUCION PATRIMONIAL)
====================================================================================================
;;;;;;;;
CAMPO;2020;2021;2022;2023;2024;1S_2025;2S_2025;CIERRE_2025
;;;;;;;;
--- PABLO ---;;;;;;;;;
Bajo Gestion (M);111.9;86.5;85.0;87.9;88.43;96.4;;;
Empresarial (M);20.2;27.5;43.5;36.1;37.66;32.3;;;
;;;;;;;;
--- ALEJANDRO ---;;;;;;;;;
Bajo Gestion (M);91.2;67.6;66.8;70.0;72.63;78.8;;;
Empresarial (M);40.9;56.5;91.8;74.7;77.45;64.7;;;
;;;;;;;;
====================================================================================================
SECCION 7: CASH FLOW Y RENTAS
====================================================================================================
;;;;;;;;
CAMPO;CIERRE_2024;1S_2025;2S_2025;CIERRE_2025;1S_2026;2S_2026;CIERRE_2026;DESCRIPCION
;;;;;;;;
--- TOTAL FAMILIA ---;;;;;;;;;
Ingresos Anuales (K);-;1107;;;;;;Todos los ingresos
Ingresos Optimizados (K);-;600;;;;;;Solo inmuebles
;;;;;;;;
--- PABLO ---;;;;;;;;;
Ingresos Anuales (K);-;220;;;;;;
Ingresos Optimizados (K);-;180;;;;;;
;;;;;;;;
--- ALEJANDRO ---;;;;;;;;;
Ingresos Anuales (K);-;907;;;;;;
Ingresos Optimizados (K);-;420;;;;;;
;;;;;;;;
====================================================================================================
SECCION 8: DATOS FISCALES
====================================================================================================
;;;;;;;;
CAMPO;CIERRE_2024;1S_2025;2S_2025;CIERRE_2025;1S_2026;2S_2026;CIERRE_2026;DESCRIPCION
;;;;;;;;
--- TOTAL ---;;;;;;;;;
Generacion Total (K);-;11180;;;;;;Riqueza generada
Impuesto Patrimonio (K);-;462;;;;;;IP - Fijo
Impuesto Sociedades (K);-;417;;;;;;IS - Variable
IRPF (K);-;232;;;;;;Variable con necesidades
;;;;;;;;
--- PABLO ---;;;;;;;;;
Generacion (K);-;5490;;;;;;
Impuesto Patrimonio (K);-;278;;;;;;
Impuesto Sociedades (K);-;184;;;;;;
IRPF (K);-;124;;;;;;
Ganancias Realizadas (K);-;1380;;;;;;
Ganancias Latentes (K);-;4110;;;;;;
;;;;;;;;
--- ALEJANDRO ---;;;;;;;;;
Generacion (K);-;5690;;;;;;
Impuesto Patrimonio (K);-;184;;;;;;
Impuesto Sociedades (K);-;233;;;;;;
IRPF (K);-;109;;;;;;
Ganancias Realizadas (K);-;1710;;;;;;
Ganancias Latentes (K);-;3980;;;;;;
;;;;;;;;
====================================================================================================
NOTAS Y LEYENDA
====================================================================================================
;;;;;;;;
M = Millones de Euros;;;;;;;;
K = Miles de Euros;;;;;;;;
% = Porcentaje;;;;;;;;
;;;;;;;;
Para anadir un nuevo periodo:;;;;;;;;
1. Copia la columna del periodo anterior;;;;;;;;
2. Rellena los nuevos valores;;;;;;;;
3. Actualiza el archivo app.js con los nuevos datos;;;;;;;;
;;;;;;;;
Contacto: alejandro@blanescapital.com;;;;;;;;
